forcel,forcer
3.041835,703.901062
3.043662,704.889648
3.045548,705.89386
3.047434,706.913269
3.049261,707.947083
3.051029,708.995117
3.052796,710.056396
3.054564,711.130371
3.056391,712.216248
3.058218,713.313293
3.059986,714.421021
3.061694,715.538635
3.063283,716.665527
3.064753,717.801025
3.066163,718.944153
3.067515,720.094238
3.068806,721.250488
3.070038,722.411926
3.071151,723.578186
3.072145,724.748413
3.07302,725.921692
3.073835,727.097107
3.074591,728.273804
3.075287,729.450989
3.075864,730.627747
3.076323,731.803345
3.076661,732.977051
3.076881,734.147827
3.076981,735.314697
3.077022,736.476807
3.076943,737.633118
3.076746,738.782959
3.076369,739.925415
3.075814,741.059692
3.075139,742.184814
3.074404,743.299927
3.07361,744.403931
3.072756,745.496094
3.071783,746.575623
3.07069,747.641724
3.069538,748.693665
3.068385,749.73053
3.067293,750.751465
3.066259,751.755676
3.065285,752.742493
3.06437,753.711121
3.063455,754.661011
3.06254,755.591614
3.061684,756.502258
3.060948,757.392334
3.06033,758.260986
3.059831,759.10791
3.059392,759.932617
3.059012,760.73468
3.058692,761.513611
3.05849,762.269104
3.058468,763.000732
3.058683,763.708008
3.059137,764.390747
3.059829,765.048767
3.060699,765.681946
3.061748,766.2901
3.063036,766.872925
3.064621,767.430542
3.066563,767.962646
3.068863,768.46936
3.071521,768.950623
3.074536,769.406555
3.077908,769.837402
3.081698,770.243164
3.085964,770.624084
3.090766,770.980225
3.096105,771.312012
3.10192,771.61969
3.108153,771.903687
3.114802,772.164185
3.12187,772.401917
3.129413,772.617065
3.137434,772.809937
3.145931,772.981079
3.154786,773.131226
3.163939,773.260864
3.17339,773.370544
3.183139,773.460815
3.193186,773.53241
3.203531,773.585938
3.214115,773.621948
3.224877,773.641174
3.235699,773.644531
3.246521,773.632629
3.257344,773.606201
3.268166,773.565735
3.278929,773.512207
3.289572,773.446228
3.299978,773.368591
3.310085,773.280212
3.319835,773.181702
3.329167,773.073975
3.338083,772.957581
3.346522,772.833374
3.354364,772.701782
3.361492,772.563965
3.367845,772.420532
3.373363,772.272217
3.378047,772.119568
3.381837,771.963501
3.384674,771.804382
